month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202009,48329,"midland, tx",332500,0.0105,-0.1307,826,-0.0495,0.3453,59.5,0.1667,0.4,252,-0.1923,-0.1486,0,-1,,340,-0.0761,0.0759,202,-0.1022,0.0745,152.9571587,0.001,-0.0521,2260,0.0094,-0.0743,406294,0.0114,-0.0692,1028,-0.0603,0.2818,0.2446,-0.0144,-0.0616
202009,6041,"marin, ca",1456350,-0.0259,-0.0415,427,0.0949,-0.2763,35,-0.0789,-0.2135,304,0,-0.1163,4,-0.5,0,124,0.3478,-0.5,272,-0.114,0.2308,707.9391675,0.0202,0.0521,2035.5,0.0122,-0.0585,2605104,0.0247,0.118,699,0.0029,-0.1381,0.637,-0.1502,0.2624
202009,36047,"kings, ny",869550,-0.0119,-0.0108,5476,0.0598,0.393,57,0.2391,-0.3049,1412,0.0292,0.2978,52,0.1818,0.1818,1232,0.2887,0.4528,2304,0.1578,0.369,584.0485968,-0.0207,0.0278,970,-0.0192,0.0062,1249910,-0.0281,-0.0238,7780,0.087,0.3858,0.4207,0.0356,-0.0074
202009,47031,"coffee, tn",302500,0.0085,0.2607,73,-0.1412,-0.6096,36.5,-0.131,-0.2234,44,-0.0833,-0.5417,0,-1,,12,-0.25,-0.8,73,-0.0519,0.0735,130.1341626,-0.0003,0.0937,2201,0.0005,0.0721,380549,0.0502,0.2451,146,-0.0988,-0.4275,1,0.0941,0.6364
202009,40051,"grady, ok",164277.5,-0.0047,-0.0128,86,-0.0444,-0.3901,65,0.0317,0.0236,28,-0.2222,-0.4615,0,,,12,-0.5714,-0.5714,87,-0.0114,,87.57435252,0.0196,0.0002,1825,-0.0054,-0.0135,256375,0.0553,0.1433,173,-0.0281,0.227,1.0116,0.0339,1.0116
202009,1121,"talladega, al",177050,0.0114,0.0271,155,-0.019,-0.4561,79,-0.1023,0.1533,48,-0.2,-0.3684,4,,,20,-0.375,-0.375,126,0,1.7391,86.00935684,0.059,-0.0995,1818,-0.0396,0.0231,244337,0.0294,-0.0227,281,-0.0106,-0.1511,0.8129,0.0154,0.6515
202009,29051,"cole, mo",192250,-0.1454,-0.0506,91,-0.0808,-0.5806,32,0.1852,-0.1899,64,-0.3043,-0.4286,0,,,24,0,-0.7143,10,-0.2308,-0.1667,89.90039739,-0.0058,0.0679,2118.5,-0.0082,-0.0059,250803,-0.0059,0.1067,101,-0.0982,-0.559,0.1099,-0.0214,0.0546
202009,42013,"blair, pa",149950,-0.0323,0.1539,241,-0.0243,-0.3397,56,0,-0.1825,100,0.1364,0.0417,4,,,80,0,-0.3333,9,-0.1818,-0.1,45.01233954,-0.0855,2.021,1160,-0.1077,0.1916,201083,-0.0472,0.0976,250,-0.031,-0.3333,0.0373,-0.0072,0.0099
202009,54069,"ohio, wv",137050,-0.086,-0.0645,128,0.0847,-0.2889,50.5,-0.2231,-0.3648,56,-0.0667,0.0769,0,,,36,0.125,-0.1818,96,0.0323,0.6,87.60719817,-0.0067,-0.0466,1812,-0.0152,-0.0131,206885,-0.0263,-0.0303,224,0.0616,-0.0667,0.75,-0.0381,0.4167
202009,21037,"campbell, ky",352231,0.104,0.3046,142,0.0365,-0.3395,29.5,-0.2436,-0.528,80,-0.2,-0.2593,4,0,,56,-0.2222,-0.4167,225,0.0135,0.2712,132.4408913,0.0737,0.2518,1528.5,0.1373,-0.068,421557,0.071,0.2527,367,0.0223,-0.0638,1.5845,-0.0359,0.7613
202009,42045,"delaware, pa",384250,-0.0273,0.1343,672,-0.0059,-0.4641,37,-0.119,-0.3084,576,0.1901,-0.0204,68,1.4286,4.6667,232,0.0943,-0.6,402,0.0607,0.8273,174.1075324,0.0082,0.0975,2022.5,-0.0406,0.0052,646291,-0.0166,0.2425,1074,0.018,-0.2714,0.5982,0.0376,0.4228
202009,45015,"berkeley, sc",349265,0.0096,0.1896,404,0.0228,-0.3916,48,-0.1429,-0.2558,228,0.0962,-0.05,92,-0.1154,0.9167,124,0.2917,-0.5694,466,-0.0509,0.4079,165.0692841,0.0406,0.139,2329.5,-0.0253,0.0708,528914,0.0037,0.1618,870,-0.0181,-0.1256,1.1535,-0.0896,0.655
202009,18095,"madison, in",139500,-0.0697,0.165,165,0.1301,-0.6467,43.5,-0.1122,-0.2435,124,0.2917,-0.2955,0,-1,,68,0.4167,-0.5405,259,-0.0038,-0.0263,82.00263158,0.0227,0.2279,1778.5,-0.0196,0.0283,184982,-0.0085,0.3135,424,0.0443,-0.4216,1.5697,-0.2111,1.0001
202009,47125,"montgomery, tn",283750,0.0566,0.0817,493,0.0534,-0.4417,25,-0.1071,-0.4253,404,0.0978,-0.1062,92,0.0952,0.5333,88,0.1579,-0.4884,691,-0.0349,0.7538,131.9622343,0.0045,0.1145,2200.5,0.0188,-0.0068,302432,0.028,0.0899,1184,0,-0.0728,1.4016,-0.1283,0.9554
202009,42019,"butler, pa",336545,0.006,0.1228,367,-0.0213,-0.4712,52.5,-0.0455,-0.2222,184,0.0455,0.0455,8,1,-0.75,108,-0.129,-0.5179,429,-0.1006,0.4396,0,,,0,,,454783,-0.0061,0.2424,796,-0.0657,-0.1976,1.1689,-0.1031,0.7395
202009,5125,"saline, ar",259550,0.0176,0.2298,163,-0.1891,-0.5799,37,0.0278,-0.3333,92,-0.3235,-0.3947,8,1,,52,0.0833,-0.5185,154,-0.2021,0.3162,112.1654501,-0.0168,0.0653,2134.5,0.0045,0.0533,308319,-0.0477,0.0641,317,-0.1954,-0.3723,0.9448,-0.0154,0.6432
202009,1095,"marshall, al",250000,0.0002,0.0384,198,-0.0917,-0.4407,46,-0.1786,-0.439,68,-0.1905,-0.2917,0,,,64,0.3333,-0.2,3,-0.5,0.5,109.585427,-0.0037,0.1102,2305,-0.0004,-0.0148,359810,0.0092,0.0871,201,-0.1027,-0.4354,0.0152,-0.0124,0.0095
202009,48113,"dallas, tx",391050,0.0051,0.1171,4256,-0.0375,-0.3557,50.5,0.01,-0.0734,2144,-0.053,-0.1988,112,-0.1515,0.5556,1548,-0.1284,-0.5083,3588,-0.0186,0.2925,196.3993453,0.0237,0.1443,2091.5,-0.0111,-0.0007,681288,0.0076,0.1276,7844,-0.029,-0.1639,0.843,0.0163,0.4228
202009,37195,"wilson, nc",226300,0.1312,0.2425,92,-0.1238,-0.4682,61,-0.0469,-0.1159,44,0.1,0,0,-1,-1,16,0,-0.6,171,0.0118,0.71,104.3231962,0.0218,0.2664,2149.5,0.0812,0.0664,305546,0.1566,0.3492,263,-0.0401,-0.0366,1.8587,0.2492,1.2807
202009,37051,"cumberland, nc",213500,-0.0298,0.2382,464,-0.0128,-0.6939,47,-0.06,-0.3037,308,-0.061,-0.3636,40,1,1.5,96,-0.1111,-0.6308,1006,-0.0527,-0.1121,103.332376,0.0035,0.1107,2025,-0.0357,0.0946,243786,-0.0054,0.2027,1470,-0.0405,-0.4451,2.1681,-0.0915,1.4207
202009,45085,"sumter, sc",179500,-0.0031,-0.0339,137,-0.068,-0.6385,59.5,-0.15,0.0259,76,0.1176,-0.4242,8,1,1,32,0.3333,-0.6,236,-0.0992,0.5733,90.69285582,-0.0281,0.0174,1923,-0.0144,-0.0404,231531,-0.0234,0.2186,373,-0.088,-0.2949,1.7226,-0.0597,1.3268
202009,26045,"eaton, mi",217450,0.0352,0.09,157,-0.0485,-0.5341,41.5,-0.0119,-0.117,136,-0.1053,-0.15,0,-1,-1,48,-0.2,-0.6471,299,0,0.323,111.8920654,0.0443,0.1315,1777.5,-0.0392,-0.0853,227762,-0.0004,0.0261,456,-0.0172,-0.1901,1.9045,0.0923,1.2338
202009,35035,"otero, nm",225050,-0.0022,0.1904,178,0.0595,-0.5627,45,-0.2742,-0.5522,84,0.4,-0.0455,0,,,20,-0.1667,-0.5833,172,-0.0947,0.1622,115.4066576,0.0063,0.0851,1839,-0.0617,0.0116,267212,0.0062,0.208,350,-0.0223,-0.3694,0.9663,-0.1647,0.6027
202009,5005,"baxter, ar",224950,0.0227,0.1764,189,-0.1,-0.4864,65,-0.1558,-0.2896,60,-0.1667,-0.1176,4,,,32,0,-0.2,162,0.0253,-0.0357,105.9041889,0.0324,,2057,0.0826,,315120,0.0337,0.1258,351,-0.0462,-0.3451,0.8571,0.1048,0.4006
202009,48215,"hidalgo, tx",220050,0.0233,0.1282,1085,-0.089,-0.473,76,-0.1059,-0.1828,368,0.15,-0.193,24,0,0.5,152,-0.2692,-0.4865,35,0.0606,-0.0541,105.2713066,0.0106,0.0769,2089.5,0.0329,0.0341,287679,0.0222,0.1068,1120,-0.085,-0.4656,0.0323,0.0046,0.0143
202009,36081,"queens, ny",589050,0,-0.0419,5740,0.0217,0.1712,61.5,0.1182,-0.1338,1560,-0.078,0.1017,64,-0.1579,0.0667,1124,0.1564,0.1807,3638,0.0863,0.2698,335.0035053,0.0152,,679,0.0059,,699854,0.0108,-0.053,9378,0.0458,0.2076,0.6338,0.0377,0.0492
202009,51067,"franklin, va",339950,0,-0.0813,150,-0.026,-0.5413,70,0,-0.4017,48,-0.2,-0.1429,4,0,,40,0.25,-0.4737,137,-0.0805,-0.1845,137.4963835,-0.0568,-0.0945,2244,-0.0106,-0.1269,538374,-0.0015,-0.0112,287,-0.0528,-0.4202,0.9133,-0.0542,0.3996
202009,49049,"utah, ut",499450,0.0516,0.2789,829,-0.1497,-0.7138,30.5,-0.2179,-0.4352,700,-0.0885,-0.2291,196,0.3243,0.2895,224,-0.1111,-0.7455,2941,0.0027,0.5569,159.8680967,0.0558,0.1888,3433,0.0003,0.1105,714439,0.0704,0.4336,3770,-0.0353,-0.2123,3.5476,0.5394,2.8956
202009,22033,"east baton rouge, la",285405,0.003,0.1769,1608,-0.0429,-0.3325,85.5,0.0059,0.0755,428,-0.0855,-0.1955,64,-0.2,1.2857,436,-0.155,-0.4263,981,-0.0344,121.625,142.9102601,0.01,0.1078,2044.5,0.0136,0.0927,386104,0.0199,0.1635,2589,-0.0397,0.0712,0.6101,0.0053,0.6068
202009,36057,"montgomery, ny",159950,0.0057,-0.0236,176,0.0932,-0.3257,54,-0.1563,-0.3571,64,-0.1579,-0.0588,0,,,56,0.75,-0.3,197,0.0155,0.4812,91.31347534,0.0128,0.002,1830,-0.0266,0.0264,235143,0.0304,0.1374,373,0.0507,-0.0533,1.1193,-0.0857,0.6097
202009,9001,"fairfield, ct",704550,0.0079,0.0079,6031,-0.0529,-0.2485,55,0.0377,-0.4211,1900,0.0349,-0.0145,104,-0.1034,1.6,984,0.1233,-0.505,146,0,0.9211,275.4759558,0.0075,0.054,2660.5,-0.008,-0.0587,1439558,0.0173,0.0781,6177,-0.0517,-0.2375,0.0242,0.0013,0.0147
202009,50023,"washington, vt",298000,-0.0065,-0.0026,203,-0.0146,-0.4861,58.5,-0.1643,-0.3874,88,0.1,0.2222,4,-0.5,0,56,1,-0.3636,139,-0.0479,-0.0733,163.8189935,-0.0073,0.1154,1788,-0.0067,-0.058,400645,-0.0049,0.1166,342,-0.0284,-0.3725,0.6847,-0.024,0.305
